LEI,Entity.LegalName,Entity.LegalAddress.City,Entity.LegalAddress.Country,Registration.RegistrationStatus
001GPB6A9XPE8XJICC14,Fidelity Advisor Leveraged Company Stock Fund,BOSTON,US,LAPSED
004L5FPTUREIWK9T2N63,"Hutchin Hill Capital, LP",Wilmington,US,LAPSED
00EHHQ2ZHDCFXJCPCL46,Vanguard Fiduciary Trust Company Vanguard Russell 1000 Growth Index Trust,MALVERN,US,ISSUED
00GBW0Z2GYIER7DHDS71,"ARISTEIA CAPITAL, L.L.C.",Wilmington,US,ISSUED
00KLB2PFTM3060S2N216,Oakmark International Fund,BOSTON,US,ISSUED
00QDBXDXLLF3W3JJJO36,Prudential Investment Portfolios 18,Wilmington,US,ISSUED
00TR8NKAEL48RGTZEW89,ESG DOMESTIC OPPORTUNITY OFFSHORE FUND LTD.,Camana Bay,KY,RETIRED
00TV1D5YIV5IDUGWBW29,Ceridian Corporation Retirement Plan Trust,Wilmington,US,ISSUED
00W0SLGGVF0QQ5Q36N03,"GE Pacific-3 Holdings, Inc.",Wilmington,US,LAPSED
00X5RQKJQQJFFX0WPA53,"The Greater Morristown Young Men's Christian Association, Inc.",Cedar Knolls,US,LAPSED
00X8DSV26QKJPKUT5B34,T. Rowe Price Summit Municipal Income Fund,BALTIMORE,US,ISSUED
010CMKZ3VON21WF2ZD45,GE AVIATION CZECH S.R.O.,PRAGUE,CZ,ISSUED
010G7UHBHEI87EKP0Q97,"AQR DELTA SAPPHIRE FUND, L.P.",DOVER,US,LAPSED
010PWNH4K3BLIC3I7R03,GESTION PLACEMENTS DESJARDINS INC.,Montreal,CA,LAPSED
01370W6ZIY66KQ4J3570,GOLD COAST CAPITAL SUBSIDIARY I LIMITED,George Town,KY,ISSUED
014W5MNVD8KOIPLIND87,III Select Credit Hub Fund Ltd.,George Town,KY,ISSUED
016DGCW2COM8YUBURB67,"MEDI-PHYSICS, INC.",WILMINGTON,US,ISSUED
01E7JU5W846RIZXBMX63,LAZARD FRERES & CO QUANTITATIVE EQUITY FUND,New York,US,LAPSED
01ERPZV3DOLNXY2MLB90,"Libertyville Bank & Trust Company, National Association",Libertyville,US,ISSUED
01J4SO3XTWZF4PP38209,Trustmark Bank,Jackson,US,ISSUED
01KWVG908KE7RKPTNP46,HomeStreet Bank,Seattle,US,RETIRED
01PZ5A1XH5933KUUB187,TIFF Multi-Asset Fund,WILMINGTON,US,ISSUED
01TRDHWDCL69YP41S025,RGA INTERNATIONAL REINSURANCE COMPANY DESIGNATED ACTIVITY COMPANY,DUBLIN,IE,ISSUED
01TTJC0QULHOS23G7C64,"AG Net Lease Realty Fund, L.P.",Dover,US,RETIRED
01YA4M3ZQ45K0V190G80,NATIXIS FUNDS TRUST I,BOSTON,US,ISSUED
01ZT0X0MQPY4FB7X6597,"Stirling Bossier, L.L.C.",Covington,US,LAPSED
020BQJXAXCZNLKIN7326,IAG NEW ZEALAND LIMITED,AUCKLAND,NZ,ISSUED
02125PFFNNDK2YW74M07,iShares Global Healthcare Index ETF (CAD-Hedged),Toronto,CA,ISSUED
023VXBUMLOGQRCOPJY30,ProFunds UltraSector Bear,WILMINGTON,US,RETIRED
023Z0O828G80MF0V6P05,MERCED PARTNERS LIMITED PARTNERSHIP,WILMINGTON,US,LAPSED
024DELVYES1ONBTJWD69,Putnam Focused Equity Fund,Boston,US,ISSUED
029200013A5N6ZD0F605,AFRINVEST SECURITIES LIMITED,LAGOS,NG,ISSUED
029200028G3L5BI6D581,DIAMOND SECURITIES LIMITED,LAGOS,NG,ISSUED
029200038B4L4ZI1E579,CAPITAL BANCORP PLC,LAGOS,NG,ISSUED
029200048F0K9UI5A508,CAPITAL EXPRESS SECURITIES LTD,LAGOS,NG,ISSUED
029200050A6L6XA0G556,COWRY SECURITIES LIMITED,LAGOS,NG,LAPSED
029200067A7K6CH0H586,CENTRAL SECURITIES CLEARING SYSTEM PLC,LAGOS,NG,ISSUED
029200073F9T3DD5J993,ECL ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
029200086F9P0XG5J787,EUROCOMM SECURITIES LIMITED,LAGOS,NG,LAPSED
029200098C3K8BI2D551,STANBIC IBTC BANK PLC,LAGOS,NG,DUPLICATE
0292001007F9R1YAH504,FORTRESS CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001018B2N4DBI146,SIGNET INVESTMENTS AND SECURITIES LTD,IKEJA LAGOS,NG,LAPSED
0292001026A4KCG0E581,ICON STOCKBROKERS LIMITED,LAGOS,NG,LAPSED
0292001036C4S8DDG272,MUTUAL ALLIANCE AND INVESTMENTS LIMITED,LAGOS,NG,LAPSED
0292001043F9K1CED562,CITI INVESTMENT CAPITAL LIMITED,IKOYI LAGOS,NG,LAPSED
0292001058D6S6ZFI330,EDC SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001068F8M9VGI544,ZENITH SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001076F9L1DHG532,ARTHUR STEVEN ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
029200107H2M7CH7C666,FSDH CAPITAL LIMITED,LAGOS,NG,ISSUED
0292001083B7P3ZID187,ASSOCIATED ASSET MANAGERS LIMITED,LAGOS,NG,LAPSED
0292001093C9N2UJD238,EDGEFIELD CAPITAL MANAGEMENT LIMITED,IKEJA LAGOS,NG,LAPSED
0292001103H8P5XAD727,IMPERIAL ASSET MANAGERS LIMITED,IKOYI LAGOS,NG,LAPSED
0292001113A2K4VBD053,APEL ASSET LIMITED,LAGOS,NG,LAPSED
0292001130A2Q5CDA023,GTI SECURITIES LIMTED,LAGOS,NG,LAPSED
0292001147J8R3BEH946,ATLANTIC SHRIMPERS LIMITED,LAGOS,NG,ISSUED
0292001156F2T0UFG565,SPRING TRUST AND SECURITIES LTD,LAGOS,NG,ISSUED
0292001167H3Q0GH7D41,CSL STOCKBROKERS LIMITED,LAGOS,NG,LAPSED
0292001178F3RHI5D836,NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,LAGOS,NG,LAPSED
029200117F9M1UH5J696,INDEPENDENT SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001186C6Q9DIG214,CASHVILLE INVESTMENTS AND SECURITIES LTD,LAGOS,NG,ISSUED
0292001197B7R2AJH175,PARTNERSHIP SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001203H4S4WAD755,PHRONESIS SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001216G8N0CBG639,INVESTMENT CENTRE LIMITED,LAGOS,NG,LAPSED
0292001228G1S0WCI668,GLOBAL ASSET MANAGEMENT NIG LTD,LAGOS,NG,ISSUED
